,model,Precision,Recall,F1 Score,M.A F1 Score
0,Random Forest Classifier (tx),0.909,0.648,0.757,0.974
1,Random Forest Classifier (tx + agg),0.981,0.651,0.782,0.977
2,Logistic Regression (tx),0.515,0.646,0.573,0.939
3,Logistic Regression (tx + agg),0.456,0.63,0.529,0.929
4,MLP (tx),0.879,0.593,0.708,0.969
5,MLP (tx + agg),0.877,0.593,0.707,0.969
6,KNeighbotsClassifier (tx),0.762,0.629,0.689,0.964
7,KNeighbotsClassifier (tx + agg),0.73,0.576,0.644,0.96
8,SVC (tx),0.842,0.604,0.703,0.968
9,SVC (tx + agg),0.862,0.588,0.699,0.968
10,Decision Tree Classifier (tx),0.986,0.573,0.725,0.973
11,Decision Tree Classifier (tx + agg),0.986,0.573,0.725,0.973
12,AdaBoost Classifier (tx),0.807,0.615,0.699,0.967
13,AdaBoost Classifier (tx + agg),0.945,0.567,0.708,0.971
